protocol,fold,time_key,year,month,dealer_code,n_test,sum_abs_y,wmape,smape,mae,rmse,y_true,y_pred,wmape_p50,wmape_p10,wmape_std,wmape_wmean,wmape_mean,n_groups,wmape_p90
,,,,1,,,,,,,,,,64.5231250270111,52.503928028469446,21.24713925521454,60.38377631702104,64.5231250270111,2,76.54232202555279
,,,,2,,,,,,,,,,37.68177183507349,33.12813392718282,8.04977060934404,39.042711249739234,37.68177183507349,2,42.23540974296416
,,,,3,,,,,,,,,,24.692579545648176,20.92275572680133,6.664169965462928,24.94120216890195,24.692579545648176,2,28.46240336449502
,,,,4,,,,,,,,,,23.215562310041353,18.91770808092067,7.597604674906295,22.837763342068623,23.215562310041353,2,27.513416539162037
,,,,5,,,,,,,,,,28.54584910046721,23.214741384694705,9.424156042646658,28.77367238472195,28.54584910046721,2,33.87695681623971
,,,,6,,,,,,,,,,31.709490423060117,27.01595301373331,8.297080324719309,31.44842172071992,31.709490423060117,2,36.40302783238692
,,,,7,,,,,,,,,,25.321067448360264,21.614843499484724,6.551740217114698,25.262382544174674,25.321067448360264,2,29.027291397235803
,,,,8,,,,,,,,,,28.210612610521327,20.876324900816613,12.96531143676339,29.254128322567407,28.210612610521327,2,35.54490032022604
,,,,9,,,,,,,,,,25.6607177579177,22.22886851759446,6.066709674606156,26.33924457604888,25.6607177579177,2,29.092566998240937
,,,,10,,,,,,,,,,25.164053971243334,22.051531761968235,5.502213901930397,25.836426664187673,25.164053971243334,2,28.276576180518436
,,,,11,,,,,,,,,,28.47037502280103,28.47037502280103,0.0,28.47037502280103,28.47037502280103,1,28.47037502280103
,,,,12,,,,,,,,,,29.215257067895855,29.215257067895855,0.0,29.215257067895855,29.215257067895855,1,29.215257067895855
