experiment,time_key,delta_wmape,wmape_base,wmape_exp,month,sum_abs_y
p3_2_full,24286,-0.10072713238188769,28.44950181050152,28.348774678119632,11,17047.0
p3_2_full,24287,1.2374729304097976,27.166817807825822,28.40429073823562,12,22377.0
p3_2_full,24288,16.621186063059056,33.11174685744207,49.73293292050113,1,15053.0
p3_2_full,24289,0.22385095259829768,28.030175684924387,28.254026637522685,2,10004.0
p3_2_full,24290,3.3673479681283887,27.4388870117772,30.80623497990559,3,16751.0
p3_2_full,24291,-6.101222113387696,36.457581001319056,30.35635888793136,4,12136.0
p3_2_full,24292,7.771779915906368,29.65798544110888,37.42976535701525,5,16078.0
p3_2_full,24293,5.379605494742528,32.63984780017605,38.01945329491858,6,12787.0
p3_2_full,24294,8.25958216800047,22.32230189180236,30.58188405980283,7,15121.0
p3_2_full,24295,12.500081810111006,23.54226568787149,36.0423474979825,8,19165.0
p3_2_full,24296,10.009017597354557,19.896132040145936,29.905149637500493,9,21348.0
p3_2_full,24297,12.819635508899093,16.098901939662273,28.918537448561366,10,24947.0
p3_2_loss_only,24286,-1.385043833712512,28.44950181050152,27.064457976789008,11,17047.0
p3_2_loss_only,24287,0.10998967467876852,27.166817807825822,27.27680748250459,12,22377.0
p3_2_loss_only,24288,-1.8051327919751898,33.11174685744207,31.30661406546688,1,15053.0
p3_2_loss_only,24289,3.8001722111706435,28.030175684924387,31.83034789609503,2,10004.0
p3_2_loss_only,24290,-0.5523074546751303,27.4388870117772,26.88657955710207,3,16751.0
p3_2_loss_only,24291,-4.571563743786726,36.457581001319056,31.88601725753233,4,12136.0
p3_2_loss_only,24292,1.1319456778439694,29.65798544110888,30.78993111895285,5,16078.0
p3_2_loss_only,24293,-6.831667970707834,32.63984780017605,25.808179829468216,6,12787.0
p3_2_loss_only,24294,-3.66264800864527,22.32230189180236,18.65965388315709,7,15121.0
p3_2_loss_only,24295,0.5879111246917859,23.54226568787149,24.130176812563278,8,19165.0
p3_2_loss_only,24296,0.2931276451489353,19.896132040145936,20.18925968529487,9,21348.0
p3_2_loss_only,24297,-2.2060243568491114,16.098901939662273,13.892877582813162,10,24947.0
p3_2_weight_only,24286,2.137910660493681,28.44950181050152,30.5874124709952,11,17047.0
p3_2_weight_only,24287,1.2814085202321088,27.166817807825822,28.44822632805793,12,22377.0
p3_2_weight_only,24288,8.461173429775855,33.11174685744207,41.572920287217926,1,15053.0
p3_2_weight_only,24289,1.4541558817622011,28.030175684924387,29.48433156668659,2,10004.0
p3_2_weight_only,24290,1.7282453277505283,27.4388870117772,29.16713233952773,3,16751.0
p3_2_weight_only,24291,-11.323014367636997,36.457581001319056,25.13456663368206,4,12136.0
p3_2_weight_only,24292,6.504270029233179,29.65798544110888,36.16225547034206,5,16078.0
p3_2_weight_only,24293,1.4934909878880873,32.63984780017605,34.13333878806414,6,12787.0
p3_2_weight_only,24294,5.312147941196827,22.32230189180236,27.634449832999188,7,15121.0
p3_2_weight_only,24295,5.386992457601025,23.54226568787149,28.929258145472517,8,19165.0
p3_2_weight_only,24296,4.290609503551927,19.896132040145936,24.186741543697863,9,21348.0
p3_2_weight_only,24297,5.942924605582263,16.098901939662273,22.041826545244536,10,24947.0
