time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p10,wmape_mean,wmape_std,wmape_wmean,wmape_p90,n_folds,wmape_p50
,,1,,,,,,,,,,,33.11174685744207,33.11174685744207,0.0,33.11174685744207,33.11174685744207,1,33.11174685744207
,,2,,,,,,,,,,,28.030175684924387,28.030175684924387,0.0,28.030175684924387,28.030175684924387,1,28.030175684924387
,,3,,,,,,,,,,,27.4388870117772,27.4388870117772,0.0,27.4388870117772,27.4388870117772,1,27.4388870117772
,,4,,,,,,,,,,,36.457581001319056,36.457581001319056,0.0,36.457581001319056,36.457581001319056,1,36.457581001319056
,,5,,,,,,,,,,,29.65798544110888,29.65798544110888,0.0,29.657985441108885,29.65798544110888,1,29.65798544110888
,,6,,,,,,,,,,,32.63984780017605,32.63984780017605,0.0,32.63984780017605,32.63984780017605,1,32.63984780017605
,,7,,,,,,,,,,,22.32230189180236,22.32230189180236,0.0,22.32230189180236,22.32230189180236,1,22.32230189180236
,,8,,,,,,,,,,,23.542265687871495,23.542265687871495,0.0,23.542265687871495,23.542265687871495,1,23.542265687871495
,,9,,,,,,,,,,,19.896132040145936,19.896132040145936,0.0,19.896132040145936,19.896132040145936,1,19.896132040145936
,,10,,,,,,,,,,,16.098901939662273,16.098901939662273,0.0,16.098901939662273,16.098901939662273,1,16.098901939662273
,,11,,,,,,,,,,,28.44950181050152,28.44950181050152,0.0,28.44950181050152,28.44950181050152,1,28.44950181050152
,,12,,,,,,,,,,,27.166817807825826,27.166817807825826,0.0,27.166817807825822,27.166817807825826,1,27.166817807825826
