time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24286,2023,11,184,17047.0,,27.064457976789008,,45.899572057417245,25.07433777882186,49.05609248597891,,
24287,2023,12,184,22377.0,,27.27680748250459,,50.899434513557296,33.17245223021767,118.76370123265436,,
24288,2024,1,176,15053.0,,31.30661406546688,,31.41623837524159,26.776048950424602,64.53120605550852,,
24289,2024,2,176,10004.0,,31.83034789609503,,75.95637531816783,18.09265911093947,38.48051164078504,,
24290,2024,3,176,16751.0,,26.88657955710207,,61.01107118276297,25.589607622785046,51.70768009987674,,
24291,2024,4,176,12136.0,,31.886017257532334,,54.92011722296092,21.986858263489342,40.7878848941816,,
24292,2024,5,176,16078.0,,30.78993111895285,,83.90562024211702,28.127301848325224,47.069763646820704,,
24293,2024,6,176,12787.0,,25.808179829468216,,52.10846611470632,18.750522470421025,28.549047662224933,,
24294,2024,7,176,15121.0,,18.659653883157095,,41.186975797007044,16.03139922541014,26.25777999903826,,
24295,2024,8,176,19165.0,,24.130176812563274,,42.549503664920735,26.27584310299859,42.85510102090727,,
24296,2024,9,176,21348.0,,20.18925968529487,,45.96408234238597,24.488654304640622,43.636141181161875,,
24297,2024,10,176,24947.0,,13.892877582813162,,35.0360062114426,19.69236460559318,34.098242153095924,,
