time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24286,2023,11,184,17047.0,,30.5874124709952,,55.23952958698658,28.338240238753,51.6262645955368,,
24287,2023,12,184,22377.0,,28.44822632805793,,60.49749911109741,34.597063072986536,124.90679273631599,,
24288,2024,1,176,15053.0,,41.572920287217926,,100.22597174488585,35.55665733428929,79.04931469581942,,
24289,2024,2,176,10004.0,,29.48433156668659,,25.834985771784403,16.759162101882534,33.67324317746244,,
24290,2024,3,176,16751.0,,29.167132339527726,,51.63995600796635,27.760149648831188,55.94922797469126,,
24291,2024,4,176,12136.0,,25.13456663368206,,48.781839571189316,17.33142617422531,31.285945207017892,,
24292,2024,5,176,16078.0,,36.16225547034206,,84.25826820594267,33.035042241599974,61.39619797944319,,
24293,2024,6,176,12787.0,,34.13333878806414,,72.86604460174017,24.79903426607819,36.76305140605149,,
24294,2024,7,176,15121.0,,27.634449832999188,,55.95209989460502,23.74207476845345,40.56322707765166,,
24295,2024,8,176,19165.0,,28.929258145472513,,60.79759325367633,31.501660929430724,54.491312122971074,,
24296,2024,9,176,21348.0,,24.186741543697863,,51.53318987435577,29.337418095162615,58.051406354342085,,
24297,2024,10,176,24947.0,,22.041826545244536,,55.4104143889533,31.24303675137588,57.06272903740152,,
