time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p10,n_folds,wmape_p90,wmape_std,wmape_wmean,wmape_mean,wmape_p50
,,1,,,,,,,,,,,41.572920287217926,1,41.572920287217926,0.0,41.572920287217926,41.572920287217926,41.572920287217926
,,2,,,,,,,,,,,29.48433156668659,1,29.48433156668659,0.0,29.48433156668659,29.48433156668659,29.48433156668659
,,3,,,,,,,,,,,29.167132339527726,1,29.167132339527726,0.0,29.167132339527726,29.167132339527726,29.167132339527726
,,4,,,,,,,,,,,25.13456663368206,1,25.13456663368206,0.0,25.13456663368206,25.13456663368206,25.13456663368206
,,5,,,,,,,,,,,36.16225547034206,1,36.16225547034206,0.0,36.16225547034206,36.16225547034206,36.16225547034206
,,6,,,,,,,,,,,34.13333878806414,1,34.13333878806414,0.0,34.13333878806414,34.13333878806414,34.13333878806414
,,7,,,,,,,,,,,27.634449832999188,1,27.634449832999188,0.0,27.634449832999188,27.634449832999188,27.634449832999188
,,8,,,,,,,,,,,28.929258145472513,1,28.929258145472513,0.0,28.929258145472513,28.929258145472513,28.929258145472513
,,9,,,,,,,,,,,24.186741543697863,1,24.186741543697863,0.0,24.186741543697863,24.186741543697863,24.186741543697863
,,10,,,,,,,,,,,22.041826545244536,1,22.041826545244536,0.0,22.041826545244536,22.041826545244536,22.041826545244536
,,11,,,,,,,,,,,30.5874124709952,1,30.5874124709952,0.0,30.5874124709952,30.5874124709952,30.5874124709952
,,12,,,,,,,,,,,28.44822632805793,1,28.44822632805793,0.0,28.44822632805793,28.44822632805793,28.44822632805793
