time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24277,2023,2,184,16291.0,,30.12222196952768,,51.38637000267102,26.669625983998664,42.2882447466999,,
24278,2023,3,184,15072.0,,39.345507551814606,,60.14110463139507,32.22910270766031,55.43598262203214,,
24279,2023,4,184,13972.0,,19.61005993449787,,38.935162043132465,14.890856380695881,28.901475580910105,,
24280,2023,5,184,15015.0,,17.930024695178588,,46.97881971490052,14.631484825984048,26.00901316335408,,
24281,2023,6,184,13978.0,,28.94305604043482,,60.30535368643515,21.9872846376738,36.57104540575675,,
24282,2023,7,184,15509.0,,16.664576753904303,,49.79082037762718,14.046245699799012,21.983919585931087,,
24283,2023,8,184,15248.0,,17.547294710903767,,43.90069960627449,14.541366834340252,27.18077013511512,,
24284,2023,9,184,15517.0,,20.814237576398778,,45.46308759806889,17.55296328657499,33.25915953860029,,
24285,2023,10,184,17595.0,,21.10190308520226,,49.864372104683206,20.17869482522466,38.450747348215444,,
24286,2023,11,184,17047.0,,31.62929449924977,,56.48142034865147,29.303509963516895,53.49639573765673,,
24287,2023,12,184,22377.0,,30.440501244655042,,56.66600204409612,37.019950888676405,131.20171272986434,,
24288,2024,1,176,15053.0,,33.84233161610067,,96.66675543267696,28.944807830520652,70.18474835155949,,
24289,2024,2,176,10004.0,,27.158028080837703,,90.02554640455112,15.436870052312521,28.781037730477223,,
24290,2024,3,176,16751.0,,30.5647002781511,,50.419644739741024,29.09030081586984,60.4481715861372,,
24291,2024,4,176,12136.0,,28.4971026598389,,62.206422379487925,19.650047606807096,34.82341570788969,,
24292,2024,5,176,16078.0,,29.035399713544972,,78.90848995445837,26.524497533771367,47.41249694068328,,
24293,2024,6,176,12787.0,,25.33480571561063,,49.26978327860312,18.406600038949612,29.008358689502185,,
24294,2024,7,176,15121.0,,16.741959052255847,,42.990394476920514,14.383816069838675,23.54161833385215,,
24295,2024,8,176,19165.0,,30.917802642133818,,50.86890588322037,33.66702770661902,55.448882480806574,,
24296,2024,9,176,21348.0,,26.19214295804869,,51.82856261599993,31.769878856160425,56.83456152796143,,
24297,2024,10,176,24947.0,,20.47768545092459,,38.00920526373069,29.02595562183044,58.98090816225032,,
