time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,n_folds,wmape_p90,wmape_p50,wmape_wmean,wmape_std,wmape_p10,wmape_mean
,,1,,,,,,,,,,,1,46.87187425687782,46.87187425687782,46.87187425687782,0.0,46.87187425687782,46.87187425687782
,,2,,,,,,,,,,,2,53.81356129469077,44.98143905203864,42.34179498759892,15.613133825119652,36.149316809386505,44.98143905203864
,,3,,,,,,,,,,,2,35.58345567738977,34.138521750145365,34.233816193780605,2.5543064458025784,32.69358782290096,34.138521750145365
,,4,,,,,,,,,,,2,36.48139079308488,33.10783688150713,32.8112876924819,5.963657118937562,29.734282969929392,33.10783688150713
,,5,,,,,,,,,,,2,31.366272572576076,29.956106752865672,30.01636976489218,2.4928445342867858,28.54594093315527,29.956106752865672
,,6,,,,,,,,,,,2,38.66213828253841,38.47971189862412,38.469564793111225,0.32248733283284764,38.29728551470982,38.47971189862412
,,7,,,,,,,,,,,2,26.952271581142732,26.354572523131843,26.345108466875384,1.0565926425707757,25.75687346512096,26.354572523131843
,,8,,,,,,,,,,,2,34.20609183844293,30.12214237271539,30.703202947834342,7.219470903097798,26.038192906987856,30.12214237271539
,,9,,,,,,,,,,,2,30.805068482466318,30.39590740797209,30.31501027568619,0.7233014259311031,29.986746333477864,30.39590740797209
,,10,,,,,,,,,,,2,25.02789686001964,23.74697119948035,23.470263315028372,2.264378051907972,22.46604553894106,23.74697119948035
,,11,,,,,,,,,,,1,34.86543573605642,34.86543573605642,34.86543573605642,0.0,34.86543573605642,34.86543573605642
,,12,,,,,,,,,,,1,33.2852516373771,33.2852516373771,33.2852516373771,0.0,33.2852516373771,33.2852516373771
