time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24277,2023,2,184,16291.0,,34.11262374359771,,54.29263614094333,30.20264964168208,47.89358944550118,,
24278,2023,3,184,15072.0,,40.34790434962543,,61.795285412790456,33.050196432475786,59.221979459168956,,
24279,2023,4,184,13972.0,,26.824687505933774,,46.731285074943465,20.369268143092757,38.062672578636224,,
24280,2023,5,184,15015.0,,18.521041684241887,,44.53783519196769,15.113773961352821,26.539901395982177,,
24281,2023,6,184,13978.0,,28.056420915455437,,48.47017027877351,21.31373106283892,35.83200182011311,,
24282,2023,7,184,15509.0,,15.362847312913223,,43.89439862329064,12.949043422607128,20.429757807182014,,
24283,2023,8,184,15248.0,,19.256611681808337,,46.857730898407866,15.957870376315954,29.588342910873216,,
24284,2023,9,184,15517.0,,20.506026273738428,,57.88985365327635,17.29304400486952,33.96717324475365,,
24285,2023,10,184,17595.0,,21.472776470315235,,53.491523119619785,20.533342499738943,38.544079754134955,,
24286,2023,11,184,17047.0,,29.5332528444181,,59.86954817758129,27.361595719499746,55.28789317726978,,
24287,2023,12,184,22377.0,,27.90598549688171,,63.197026292401674,33.93762160128924,127.85449827229925,,
24288,2024,1,176,15053.0,,29.758717887495067,,42.79344956123444,25.45215797502632,63.46641602022749,,
24289,2024,2,176,10004.0,,31.674002654088408,,95.46478621776366,18.003791054062525,36.78916921382874,,
24290,2024,3,176,16751.0,,29.080321241125073,,67.57120531755383,27.677526199436713,60.82957868864113,,
24291,2024,4,176,12136.0,,25.520322235054326,,54.676652478293796,17.597422195717005,31.570777777742123,,
24292,2024,5,176,16078.0,,29.979788641348055,,82.65746820666966,27.387218282704204,50.81861346785053,,
24293,2024,6,176,12787.0,,22.828125460285303,,44.816849346675994,16.585411378447056,26.37518127703863,,
24294,2024,7,176,15121.0,,17.03648710482478,,46.174373351627644,14.636859176821334,24.397745093320562,,
24295,2024,8,176,19165.0,,31.680980492283624,,50.07313998716225,34.49806767810316,56.4919280787826,,
24296,2024,9,176,21348.0,,27.999629401799915,,52.49903400217255,33.96227775395594,59.43841541858325,,
24297,2024,10,176,24947.0,,18.688517416673832,,38.50694448230861,26.489911590554666,53.07600953530355,,
