time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,n_folds,wmape_std,wmape_mean,wmape_p10,wmape_p90,wmape_wmean,wmape_p50
,,1,,,,,,,,,,,1,0.0,46.754841851069905,46.754841851069905,46.754841851069905,46.754841851069905,46.754841851069905
,,2,,,,,,,,,,,2,15.986282260727839,44.38084526592155,35.337638391903255,53.42405213993984,41.67811463191541,44.38084526592155
,,3,,,,,,,,,,,2,2.9242742388034086,34.061855687563295,32.40763637211767,35.7160750030089,34.17095265479742,34.061855687563295
,,4,,,,,,,,,,,2,5.780866177671653,32.643721498487714,29.37356975819685,35.913873238778585,32.356261783305875,32.643721498487714
,,5,,,,,,,,,,,2,2.698565156357048,29.55090918787004,28.024370210643,31.07744816509709,29.616145371769647,29.55090918787004
,,6,,,,,,,,,,,2,0.5918449069446545,38.255445897675706,37.92064785998667,38.59024393536474,38.23682342135926,38.255445897675706
,,7,,,,,,,,,,,2,0.8256013073332029,25.796918031368413,25.329887404990984,26.263948657745846,25.789522998596848,25.796918031368413
,,8,,,,,,,,,,,2,7.022119752782844,29.79117811621545,25.81886731981805,33.76348891261286,30.356354844104935,29.79117811621545
,,9,,,,,,,,,,,2,0.5733621795255496,30.10248272773437,29.778140099559636,30.4268253559091,30.038355443559443,30.10248272773437
,,10,,,,,,,,,,,2,2.3724141847687887,23.596140517087655,22.254100390821122,24.93818064335419,23.30623057490371,23.596140517087655
,,11,,,,,,,,,,,1,0.0,34.81289186722136,34.81289186722136,34.81289186722136,34.81289186722136,34.81289186722136
,,12,,,,,,,,,,,1,0.0,32.974057909939134,32.974057909939134,32.974057909939134,32.974057909939134,32.974057909939134
