time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_wmean,n_folds,wmape_p10,wmape_p50,wmape_mean,wmape_std,wmape_p90
,,1,,,,,,,,,,,46.89464845317136,1,46.89464845317136,46.89464845317136,46.89464845317136,0.0,46.89464845317136
,,2,,,,,,,,,,,41.58108922505383,2,35.26896437178533,44.271734621521325,44.271734621521325,15.914799732632073,53.27450487125732
,,3,,,,,,,,,,,33.85492753432629,2,32.231093323304805,33.75446036944295,33.75446036944295,2.6929579214010215,35.27782741558111
,,4,,,,,,,,,,,32.3132947884056,2,29.305412499213777,32.60318223869306,32.60318223869306,5.829688363943987,35.90095197817234
,,5,,,,,,,,,,,29.393720192826887,2,27.861131717698235,29.330909674075517,29.330909674075517,2.5982248994822057,30.8006876304528
,,6,,,,,,,,,,,38.144530230942074,2,37.92608752135468,38.15739632397004,38.15739632397004,0.408900057193653,38.3887051265854
,,7,,,,,,,,,,,25.857457233494962,2,25.32740573901368,25.865985180909902,25.865985180909902,0.9520829389312169,26.404564622806127
,,8,,,,,,,,,,,30.351612910360284,2,25.759396050666595,29.779619249853532,29.779619249853532,7.106817715071394,33.79984244904046
,,9,,,,,,,,,,,30.020900339829975,2,29.76937991219983,30.0828848550031,30.0828848550031,0.5542036774792376,30.396389797806375
,,10,,,,,,,,,,,23.326383106216806,2,22.30276167669936,23.6084375838273,23.6084375838273,2.3081307199051535,24.914113490955238
,,11,,,,,,,,,,,34.80329751311044,1,34.80329751311044,34.80329751311044,34.80329751311044,0.0,34.80329751311044
,,12,,,,,,,,,,,33.04050579549225,1,33.04050579549225,33.04050579549225,33.04050579549225,0.0,33.04050579549225
