time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_wmean,n_folds,wmape_mean,wmape_p50,wmape_std,wmape_p90,wmape_p10
,,1,,,,,,,,,,,46.981573918962894,1,46.981573918962894,46.981573918962894,0.0,46.981573918962894,46.981573918962894
,,2,,,,,,,,,,,41.61283749458703,2,44.292499653107456,44.292499653107456,15.84983538148683,53.2585205162593,35.32647878995561
,,3,,,,,,,,,,,33.950582653573456,2,33.84999326249114,33.84999326249114,2.6962341162763312,35.375213604319555,32.32477292066274
,,4,,,,,,,,,,,32.224859277413415,2,32.51755018838098,32.51755018838098,5.886066458578161,35.84721219428123,29.187888182480734
,,5,,,,,,,,,,,29.346401525119624,2,29.282738390575155,29.282738390575155,2.633494271991225,30.772467716927892,27.793009064222414
,,6,,,,,,,,,,,38.163296653024965,2,38.1771924021279,38.1771924021279,0.44162377736489344,38.42701253629425,37.927372267961545
,,7,,,,,,,,,,,25.837547253675023,2,25.845866671604547,25.845866671604547,0.928802147473657,26.37127650909195,25.320456834117152
,,8,,,,,,,,,,,30.37097969040765,2,29.79530812513542,29.79530812513542,7.152514373175043,33.841381257780476,25.749234992490365
,,9,,,,,,,,,,,30.01783890169931,2,30.072138480943345,30.072138480943345,0.4854926495523683,30.34677459671511,29.79750236517158
,,10,,,,,,,,,,,23.265401684096286,2,23.54434364460892,23.54434364460892,2.282660121492132,24.835611205449876,22.253076083767965
,,11,,,,,,,,,,,34.7927936803017,1,34.7927936803017,34.7927936803017,0.0,34.7927936803017,34.7927936803017
,,12,,,,,,,,,,,33.036946263747794,1,33.036946263747794,33.036946263747794,0.0,33.036946263747794,33.036946263747794
