time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p90,wmape_p10,wmape_p50,n_folds,wmape_std,wmape_wmean,wmape_mean
,,1,,,,,,,,,,,47.077729847235894,47.077729847235894,47.077729847235894,1,0.0,47.077729847235894,47.077729847235894
,,2,,,,,,,,,,,53.25918895196554,35.25126469111272,44.255226821539125,2,15.91690669992847,41.56422520935094,44.255226821539125
,,3,,,,,,,,,,,35.405568510303254,32.35665457693541,33.88111154361933,2,2.6948846469231884,33.981650589555535,33.88111154361933
,,4,,,,,,,,,,,35.86779313928295,29.258133111867732,32.56296312557534,2,5.842169283403704,32.272455048301744,32.56296312557534
,,5,,,,,,,,,,,30.699142251219584,27.790396010266583,29.244769130743084,2,2.570992739660934,29.30692132846711,29.244769130743084
,,6,,,,,,,,,,,38.541508052843284,37.91996314179201,38.23073559731765,2,0.5493732767704413,38.213449496321424,38.23073559731765
,,7,,,,,,,,,,,26.32900329596828,25.299229428289404,25.814116362128843,2,0.9102001061555441,25.805963565429135,25.814116362128843
,,8,,,,,,,,,,,33.83907249335908,25.720493755704506,29.779783124531797,2,7.175877598740595,30.357335083736768,29.779783124531797
,,9,,,,,,,,,,,30.341679907473416,29.784049103479905,30.06286450547666,2,0.4928806536278968,30.007738620184274,30.06286450547666
,,10,,,,,,,,,,,24.83422441152386,22.27852345761099,23.556373934567425,2,2.258941843995898,23.280330356850587,23.556373934567425
,,11,,,,,,,,,,,34.80231021655762,34.80231021655762,34.80231021655762,1,0.0,34.80231021655762,34.80231021655762
,,12,,,,,,,,,,,33.02409919629325,33.02409919629325,33.02409919629325,1,0.0,33.02409919629325,33.02409919629325
