time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p50,wmape_p90,wmape_mean,wmape_wmean,wmape_p10,wmape_std,n_folds
,,1,,,,,,,,,,,47.10655175656771,47.10655175656771,47.10655175656771,47.10655175656771,47.10655175656771,0.0,1
,,2,,,,,,,,,,,43.582888606367746,51.80172308817561,43.582888606367746,41.12653700021039,35.36405412455988,14.528983988840421,2
,,3,,,,,,,,,,,33.77495255634068,35.10168871044572,33.77495255634068,33.86245177085307,32.44821640223563,2.3453603285325966,2
,,4,,,,,,,,,,,32.3020084683325,35.53480798746134,32.3020084683325,32.01783216618754,29.069208949203666,5.714836155481528,2
,,5,,,,,,,,,,,28.95464511402632,30.450487473347764,28.95464511402632,29.018569487195467,27.458802754704873,2.6443006896556946,2
,,6,,,,,,,,,,,38.046375046721465,38.10949348436867,38.046375046721465,38.04286420890912,37.98325660907425,0.11157868819560222,2
,,7,,,,,,,,,,,25.58699178529134,26.0095414980904,25.58699178529134,25.58030106995645,25.164442072492275,0.7469694182716149,2
,,8,,,,,,,,,,,29.669508968820907,33.743284343142626,29.669508968820907,30.2491219835689,25.595733594499194,7.20148548053413,2
,,9,,,,,,,,,,,29.781406477709982,30.055493074703307,29.781406477709982,29.72721554637036,29.507319880716654,0.48452122841581685,2
,,10,,,,,,,,,,,23.517620873446422,24.658642755643235,23.517620873446422,23.271135256940646,22.376598991249608,2.017060775959011,2
,,11,,,,,,,,,,,34.71133278606015,34.71133278606015,34.71133278606015,34.71133278606015,34.71133278606015,0.0,1
,,12,,,,,,,,,,,33.122178008783635,33.122178008783635,33.122178008783635,33.122178008783635,33.122178008783635,0.0,1
