time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p10,wmape_p50,wmape_wmean,n_folds,wmape_mean,wmape_std,wmape_p90
,,1,,,,,,,,,,,46.65265227444329,46.65265227444329,46.65265227444329,1,46.65265227444329,0.0,46.65265227444329
,,2,,,,,,,,,,,35.34688195428274,43.29479812772374,40.91941549878176,2,43.29479812772374,14.050063556355916,51.242714301164746
,,3,,,,,,,,,,,32.49728896804088,33.79539635980805,33.88100748661795,2,33.79539635980805,2.2947513485673894,35.093503751575234
,,4,,,,,,,,,,,29.063262752754902,32.1921952722749,31.91714930428431,2,32.1921952722749,5.531223506069265,35.32112779179491
,,5,,,,,,,,,,,27.4334871811519,28.949886751625883,29.014689631028553,2,28.949886751625883,2.6806410481762986,30.46628632209986
,,6,,,,,,,,,,,37.784259479353416,37.78463789673927,37.784658945455256,2,37.78463789673927,0.0006689537491471434,37.78501631412513
,,7,,,,,,,,,,,24.921205943081674,25.34922817782461,25.342450809758976,2,25.34922817782461,0.756643561713373,25.777250412567547
,,8,,,,,,,,,,,25.65117865784454,29.62055720486685,30.185316735011213,2,29.62055720486685,7.016936219239704,33.589935751889165
,,9,,,,,,,,,,,29.517739408410694,29.782033543165156,29.729778724917722,2,29.782033543165156,0.4672104372817758,30.046327677919617
,,10,,,,,,,,,,,22.360347315415304,23.495450927035535,23.2502437860739,2,23.495450927035535,2.0065986528150184,24.630554538655765
,,11,,,,,,,,,,,34.5450010762338,34.5450010762338,34.5450010762338,1,34.5450010762338,0.0,34.5450010762338
,,12,,,,,,,,,,,33.163205523665,33.163205523665,33.163205523665,1,33.163205523665,0.0,33.163205523665
