time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p50,wmape_p90,n_folds,wmape_std,wmape_p10,wmape_wmean,wmape_mean
,,1,,,,,,,,,,,49.8727886394208,49.8727886394208,1,0.0,49.8727886394208,49.8727886394208,49.8727886394208
,,2,,,,,,,,,,,28.42805517278313,28.42805517278313,1,0.0,28.42805517278313,28.428055172783125,28.42805517278313
,,3,,,,,,,,,,,30.648332118748854,30.648332118748854,1,0.0,30.648332118748854,30.648332118748854,30.648332118748854
,,4,,,,,,,,,,,30.352667693498788,30.352667693498788,1,0.0,30.352667693498788,30.352667693498788,30.352667693498788
,,5,,,,,,,,,,,37.338264767289914,37.338264767289914,1,0.0,37.338264767289914,37.338264767289914,37.338264767289914
,,6,,,,,,,,,,,38.04305660896999,38.04305660896999,1,0.0,38.04305660896999,38.04305660896999,38.04305660896999
,,7,,,,,,,,,,,30.62802827539776,30.62802827539776,1,0.0,30.62802827539776,30.62802827539776,30.62802827539776
,,8,,,,,,,,,,,36.237594123563895,36.237594123563895,1,0.0,36.237594123563895,36.237594123563895,36.237594123563895
,,9,,,,,,,,,,,29.959905232923184,29.959905232923184,1,0.0,29.959905232923184,29.959905232923187,29.959905232923184
,,10,,,,,,,,,,,28.963014548157144,28.963014548157144,1,0.0,28.963014548157144,28.963014548157144,28.963014548157144
,,11,,,,,,,,,,,28.080963373569283,28.080963373569283,1,0.0,28.080963373569283,28.080963373569283,28.080963373569283
,,12,,,,,,,,,,,28.55956810005874,28.55956810005874,1,0.0,28.55956810005874,28.55956810005874,28.55956810005874
