time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p90,wmape_p10,wmape_mean,wmape_std,wmape_p50,wmape_wmean,n_folds
,,1,,,,,,,,,,,49.76829665225104,49.76829665225104,49.76829665225104,0.0,49.76829665225104,49.76829665225104,1
,,2,,,,,,,,,,,28.4172438119994,28.4172438119994,28.4172438119994,0.0,28.4172438119994,28.417243811999395,1
,,3,,,,,,,,,,,30.791800781502747,30.791800781502747,30.791800781502747,0.0,30.791800781502747,30.791800781502747,1
,,4,,,,,,,,,,,30.320806922773123,30.320806922773123,30.320806922773123,0.0,30.320806922773123,30.320806922773123,1
,,5,,,,,,,,,,,37.41502959861528,37.41502959861528,37.41502959861528,0.0,37.41502959861528,37.41502959861528,1
,,6,,,,,,,,,,,38.02667988503681,38.02667988503681,38.02667988503681,0.0,38.02667988503681,38.02667988503681,1
,,7,,,,,,,,,,,30.600323622580085,30.600323622580085,30.600323622580085,0.0,30.600323622580085,30.600323622580085,1
,,8,,,,,,,,,,,36.075245303418505,36.075245303418505,36.075245303418505,0.0,36.075245303418505,36.075245303418505,1
,,9,,,,,,,,,,,29.9044524355196,29.9044524355196,29.9044524355196,0.0,29.9044524355196,29.904452435519605,1
,,10,,,,,,,,,,,28.91402454763182,28.91402454763182,28.91402454763182,0.0,28.91402454763182,28.91402454763182,1
,,11,,,,,,,,,,,28.346356813214058,28.346356813214058,28.346356813214058,0.0,28.346356813214058,28.346356813214058,1
,,12,,,,,,,,,,,28.54206855429446,28.54206855429446,28.54206855429446,0.0,28.54206855429446,28.54206855429446,1
