time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_mean,wmape_wmean,wmape_std,wmape_p90,n_folds,wmape_p10,wmape_p50
,,1,,,,,,,,,,,49.786930949634495,49.786930949634495,0.0,49.786930949634495,1,49.786930949634495,49.786930949634495
,,2,,,,,,,,,,,28.39367599371935,28.39367599371935,0.0,28.39367599371935,1,28.39367599371935,28.39367599371935
,,3,,,,,,,,,,,30.80639091947819,30.80639091947819,0.0,30.80639091947819,1,30.80639091947819,30.80639091947819
,,4,,,,,,,,,,,30.29780380921726,30.29780380921726,0.0,30.29780380921726,1,30.29780380921726,30.29780380921726
,,5,,,,,,,,,,,37.43975764447808,37.43975764447808,0.0,37.43975764447808,1,37.43975764447808,37.43975764447808
,,6,,,,,,,,,,,38.02228917955079,38.02228917955079,0.0,38.02228917955079,1,38.02228917955079,38.02228917955079
,,7,,,,,,,,,,,30.6126819082544,30.6126819082544,0.0,30.6126819082544,1,30.6126819082544,30.6126819082544
,,8,,,,,,,,,,,35.98430444802485,35.98430444802485,0.0,35.98430444802485,1,35.98430444802485,35.98430444802485
,,9,,,,,,,,,,,29.8953110625498,29.895311062549798,0.0,29.8953110625498,1,29.8953110625498,29.8953110625498
,,10,,,,,,,,,,,28.930535878547666,28.930535878547666,0.0,28.930535878547666,1,28.930535878547666,28.930535878547666
,,11,,,,,,,,,,,28.32564306537715,28.32564306537715,0.0,28.32564306537715,1,28.32564306537715,28.32564306537715
,,12,,,,,,,,,,,28.448313389561136,28.44831338956114,0.0,28.448313389561136,1,28.448313389561136,28.448313389561136
