time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,n_folds,wmape_p90,wmape_wmean,wmape_p10,wmape_std,wmape_p50,wmape_mean
,,1,,,,,,,,,,,1,49.75303195782722,49.75303195782722,49.75303195782722,0.0,49.75303195782722,49.75303195782722
,,2,,,,,,,,,,,1,28.36921386094057,28.36921386094057,28.36921386094057,0.0,28.36921386094057,28.36921386094057
,,3,,,,,,,,,,,1,30.81015016031248,30.81015016031248,30.81015016031248,0.0,30.81015016031248,30.81015016031248
,,4,,,,,,,,,,,1,30.2960851495871,30.2960851495871,30.2960851495871,0.0,30.2960851495871,30.2960851495871
,,5,,,,,,,,,,,1,37.42571189886977,37.42571189886977,37.42571189886977,0.0,37.42571189886977,37.42571189886977
,,6,,,,,,,,,,,1,38.01578954823953,38.01578954823953,38.01578954823953,0.0,38.01578954823953,38.01578954823953
,,7,,,,,,,,,,,1,30.60896562642361,30.60896562642361,30.60896562642361,0.0,30.60896562642361,30.60896562642361
,,8,,,,,,,,,,,1,36.006965197115946,36.006965197115946,36.006965197115946,0.0,36.006965197115946,36.006965197115946
,,9,,,,,,,,,,,1,29.876623507592715,29.87662350759272,29.876623507592715,0.0,29.876623507592715,29.876623507592715
,,10,,,,,,,,,,,1,28.879664736636702,28.879664736636702,28.879664736636702,0.0,28.879664736636702,28.879664736636702
,,11,,,,,,,,,,,1,28.323961040112057,28.323961040112057,28.323961040112057,0.0,28.323961040112057,28.323961040112057
,,12,,,,,,,,,,,1,28.41462344992682,28.414623449926818,28.41462344992682,0.0,28.41462344992682,28.41462344992682
