time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24286,2023,11,184,17047.0,,28.334861191115174,,68.74641315658056,26.25132493070328,47.034943403427405,,
24287,2023,12,184,22377.0,,28.40229725628752,,75.59924396034077,34.54120683173619,128.65552007052642,,
24288,2024,1,176,15053.0,,49.72720245846659,,94.3881043727016,42.53088514814191,79.85912671698115,,
24289,2024,2,176,10004.0,,28.3737632529232,,24.189866539943264,16.12790497626385,27.50535704270422,,
24290,2024,3,176,16751.0,,30.794731936866746,,34.95822767470443,29.309236061048576,56.249199971702005,,
24291,2024,4,176,12136.0,,30.358621904702698,,31.700109545636916,20.933649740651816,39.10714019226006,,
24292,2024,5,176,16078.0,,37.41810484743453,,85.22742983070943,34.18228918960524,58.44746065369504,,
24293,2024,6,176,12787.0,,38.00782495482168,,83.03825585187288,27.61398055098323,40.3959739623058,,
24294,2024,7,176,15121.0,,30.609150034576665,,78.91165005277668,26.297781685956465,43.02280570813493,,
24295,2024,8,176,19165.0,,36.025376288893405,,85.11083465496633,39.22876912367285,62.56718494690435,,
24296,2024,9,176,21348.0,,29.914344519670692,,79.05097076619779,36.284740159427834,68.0537959434256,,
24297,2024,10,176,24947.0,,28.88681521172621,,82.31982321026635,40.94541926630305,72.62804142307124,,
