time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_wmean,wmape_mean,wmape_p50,n_folds,wmape_p10,wmape_std,wmape_p90
,,1,,,,,,,,,,,49.72720245846659,49.72720245846659,49.72720245846659,1,49.72720245846659,0.0,49.72720245846659
,,2,,,,,,,,,,,28.3737632529232,28.3737632529232,28.3737632529232,1,28.3737632529232,0.0,28.3737632529232
,,3,,,,,,,,,,,30.794731936866746,30.794731936866746,30.794731936866746,1,30.794731936866746,0.0,30.794731936866746
,,4,,,,,,,,,,,30.358621904702698,30.358621904702698,30.358621904702698,1,30.358621904702698,0.0,30.358621904702698
,,5,,,,,,,,,,,37.41810484743453,37.41810484743453,37.41810484743453,1,37.41810484743453,0.0,37.41810484743453
,,6,,,,,,,,,,,38.00782495482168,38.00782495482168,38.00782495482168,1,38.00782495482168,0.0,38.00782495482168
,,7,,,,,,,,,,,30.609150034576665,30.609150034576665,30.609150034576665,1,30.609150034576665,0.0,30.609150034576665
,,8,,,,,,,,,,,36.025376288893405,36.025376288893405,36.025376288893405,1,36.025376288893405,0.0,36.025376288893405
,,9,,,,,,,,,,,29.914344519670696,29.914344519670692,29.914344519670692,1,29.914344519670692,0.0,29.914344519670692
,,10,,,,,,,,,,,28.88681521172621,28.88681521172621,28.88681521172621,1,28.88681521172621,0.0,28.88681521172621
,,11,,,,,,,,,,,28.334861191115174,28.334861191115174,28.334861191115174,1,28.334861191115174,0.0,28.334861191115174
,,12,,,,,,,,,,,28.402297256287518,28.40229725628752,28.40229725628752,1,28.40229725628752,0.0,28.40229725628752
