time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_mean,wmape_p50,wmape_wmean,wmape_p10,wmape_std,n_folds,wmape_p90
,,1,,,,,,,,,,,49.72403619256,49.72403619256,49.72403619256,49.72403619256,0.0,1,49.72403619256
,,2,,,,,,,,,,,28.28494408504529,28.28494408504529,28.28494408504529,28.28494408504529,0.0,1,28.28494408504529
,,3,,,,,,,,,,,30.824653330390987,30.824653330390987,30.824653330390987,30.824653330390987,0.0,1,30.824653330390987
,,4,,,,,,,,,,,30.36354737914193,30.36354737914193,30.36354737914193,30.36354737914193,0.0,1,30.36354737914193
,,5,,,,,,,,,,,37.40333582634967,37.40333582634967,37.40333582634967,37.40333582634967,0.0,1,37.40333582634967
,,6,,,,,,,,,,,38.00396426269509,38.00396426269509,38.00396426269509,38.00396426269509,0.0,1,38.00396426269509
,,7,,,,,,,,,,,30.60414982485752,30.60414982485752,30.604149824857515,30.60414982485752,0.0,1,30.60414982485752
,,8,,,,,,,,,,,36.05404198508112,36.05404198508112,36.05404198508112,36.05404198508112,0.0,1,36.05404198508112
,,9,,,,,,,,,,,29.92691654077139,29.92691654077139,29.926916540771387,29.92691654077139,0.0,1,29.92691654077139
,,10,,,,,,,,,,,28.89471565100372,28.89471565100372,28.89471565100372,28.89471565100372,0.0,1,28.89471565100372
,,11,,,,,,,,,,,28.329791087675666,28.329791087675666,28.329791087675666,28.329791087675666,0.0,1,28.329791087675666
,,12,,,,,,,,,,,28.427068483394528,28.427068483394528,28.427068483394528,28.427068483394528,0.0,1,28.427068483394528
