time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_std,wmape_wmean,wmape_mean,wmape_p50,wmape_p90,n_folds,wmape_p10
,,1,,,,,,,,,,,0.0,49.73293292050113,49.73293292050113,49.73293292050113,49.73293292050113,1,49.73293292050113
,,2,,,,,,,,,,,0.0,28.254026637522685,28.254026637522685,28.254026637522685,28.254026637522685,1,28.254026637522685
,,3,,,,,,,,,,,0.0,30.80623497990559,30.80623497990559,30.80623497990559,30.80623497990559,1,30.80623497990559
,,4,,,,,,,,,,,0.0,30.35635888793136,30.356358887931357,30.356358887931357,30.356358887931357,1,30.356358887931357
,,5,,,,,,,,,,,0.0,37.42976535701525,37.42976535701525,37.42976535701525,37.42976535701525,1,37.42976535701525
,,6,,,,,,,,,,,0.0,38.019453294918584,38.019453294918584,38.019453294918584,38.019453294918584,1,38.019453294918584
,,7,,,,,,,,,,,0.0,30.58188405980283,30.58188405980283,30.58188405980283,30.58188405980283,1,30.58188405980283
,,8,,,,,,,,,,,0.0,36.042347497982504,36.042347497982504,36.042347497982504,36.042347497982504,1,36.042347497982504
,,9,,,,,,,,,,,0.0,29.905149637500493,29.905149637500493,29.905149637500493,29.905149637500493,1,29.905149637500493
,,10,,,,,,,,,,,0.0,28.918537448561366,28.918537448561366,28.918537448561366,28.918537448561366,1,28.918537448561366
,,11,,,,,,,,,,,0.0,28.348774678119632,28.348774678119632,28.348774678119632,28.348774678119632,1,28.348774678119632
,,12,,,,,,,,,,,0.0,28.404290738235623,28.40429073823562,28.40429073823562,28.40429073823562,1,28.40429073823562
