time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_std,wmape_p50,wmape_wmean,wmape_mean,wmape_p10,wmape_p90,n_folds
,,1,,,,,,,,,,,0.0,49.716677974720305,49.716677974720305,49.716677974720305,49.716677974720305,49.716677974720305,1
,,2,,,,,,,,,,,0.0,28.246403707517544,28.24640370751754,28.246403707517544,28.246403707517544,28.246403707517544,1
,,3,,,,,,,,,,,0.0,30.8753201853466,30.8753201853466,30.8753201853466,30.8753201853466,30.8753201853466,1
,,4,,,,,,,,,,,0.0,30.347321768996437,30.347321768996437,30.347321768996437,30.347321768996437,30.347321768996437,1
,,5,,,,,,,,,,,0.0,37.392904584822574,37.392904584822574,37.392904584822574,37.392904584822574,37.392904584822574,1
,,6,,,,,,,,,,,0.0,37.98448328665495,37.98448328665495,37.98448328665495,37.98448328665495,37.98448328665495,1
,,7,,,,,,,,,,,0.0,30.57961341398031,30.57961341398031,30.57961341398031,30.57961341398031,30.57961341398031,1
,,8,,,,,,,,,,,0.0,36.03356326836556,36.03356326836556,36.03356326836556,36.03356326836556,36.03356326836556,1
,,9,,,,,,,,,,,0.0,29.886880380040022,29.886880380040022,29.886880380040022,29.886880380040022,29.886880380040022,1
,,10,,,,,,,,,,,0.0,28.899313107237695,28.899313107237692,28.899313107237695,28.899313107237695,28.899313107237695,1
,,11,,,,,,,,,,,0.0,28.33138080450206,28.33138080450206,28.33138080450206,28.33138080450206,28.33138080450206,1
,,12,,,,,,,,,,,0.0,28.427826414457307,28.427826414457304,28.427826414457307,28.427826414457307,28.427826414457307,1
