time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_std,wmape_p10,n_folds,wmape_p90,wmape_mean,wmape_p50,wmape_wmean
,,1,,,,,,,,,,,0.0,49.518132153119396,1,49.518132153119396,49.518132153119396,49.518132153119396,49.518132153119396
,,2,,,,,,,,,,,0.0,28.18397193895693,1,28.18397193895693,28.18397193895693,28.18397193895693,28.18397193895693
,,3,,,,,,,,,,,0.0,30.8655692258682,1,30.8655692258682,30.8655692258682,30.8655692258682,30.8655692258682
,,4,,,,,,,,,,,0.0,30.2839310721362,1,30.2839310721362,30.2839310721362,30.2839310721362,30.2839310721362
,,5,,,,,,,,,,,0.0,37.39560268391754,1,37.39560268391754,37.39560268391754,37.39560268391754,37.39560268391754
,,6,,,,,,,,,,,0.0,38.14468389776955,1,38.14468389776955,38.14468389776955,38.14468389776955,38.14468389776955
,,7,,,,,,,,,,,0.0,30.578789055082762,1,30.578789055082762,30.578789055082762,30.578789055082762,30.578789055082762
,,8,,,,,,,,,,,0.0,36.02677747949372,1,36.02677747949372,36.02677747949372,36.02677747949372,36.02677747949372
,,9,,,,,,,,,,,0.0,29.88083201214282,1,29.88083201214282,29.88083201214282,29.88083201214282,29.88083201214282
,,10,,,,,,,,,,,0.0,28.867459322314698,1,28.867459322314698,28.867459322314698,28.867459322314698,28.8674593223147
,,11,,,,,,,,,,,0.0,28.310004660236633,1,28.310004660236633,28.310004660236633,28.310004660236633,28.310004660236633
,,12,,,,,,,,,,,0.0,28.42348190460736,1,28.42348190460736,28.42348190460736,28.42348190460736,28.42348190460736
