time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p50,wmape_p10,wmape_std,n_folds,wmape_mean,wmape_p90,wmape_wmean
,,1,,,,,,,,,,,46.836406936093056,46.836406936093056,0.0,1,46.836406936093056,46.836406936093056,46.836406936093056
,,2,,,,,,,,,,,41.628481907246446,34.77037931941698,12.123527114818065,2,41.628481907246446,48.48658449507591,39.578810345652805
,,3,,,,,,,,,,,33.70573726095772,32.375941712730864,2.350768624357229,2,33.70573726095772,35.03553280918457,33.79343824473804
,,4,,,,,,,,,,,31.940444134522117,28.865206715373887,5.436303082095829,2,31.940444134522117,35.015681553670355,31.67011818550476
,,5,,,,,,,,,,,28.604360026220384,26.992066569956705,2.8501590904668532,2,28.604360026220384,30.21665348248406,28.673260901980534
,,6,,,,,,,,,,,37.172343716733906,37.07149595787619,0.1782753353893926,2,37.172343716733906,37.27319147559162,37.17795317315084
,,7,,,,,,,,,,,25.06598639664594,24.432712909854587,1.1194799421395456,2,25.06598639664594,25.699259883437296,25.05595904956485
,,8,,,,,,,,,,,29.352955175741364,25.328352558504115,7.114559505573963,2,29.352955175741364,33.377557792978614,29.925571935821793
,,9,,,,,,,,,,,29.38596516204533,29.017255011111423,0.6517936200442057,2,29.38596516204533,29.75467531297924,29.31306576932542
,,10,,,,,,,,,,,23.180295701029955,21.87146403721069,2.31370936229569,2,23.180295701029955,24.48912736484922,22.897559511135285
,,11,,,,,,,,,,,34.54675192762178,34.54675192762178,0.0,1,34.54675192762178,34.54675192762178,34.54675192762178
,,12,,,,,,,,,,,33.16383343064263,33.16383343064263,0.0,1,33.16383343064263,33.16383343064263,33.16383343064263
