time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_wmean,wmape_p10,wmape_p90,wmape_mean,wmape_p50,n_folds,wmape_std
,,1,,,,,,,,,,,46.81261763702253,46.81261763702253,46.81261763702253,46.81261763702253,46.81261763702253,1,0.0
,,2,,,,,,,,,,,42.713734441257785,36.94993398414941,53.39136139153051,45.17064768783996,45.17064768783996,2,14.532306015181915
,,3,,,,,,,,,,,34.36484718496569,32.97459056287732,35.58307252413923,34.278831543508275,34.278831543508275,2,2.30559410426386
,,4,,,,,,,,,,,33.26764211951271,29.93894114026616,37.23795639799672,33.58844876913144,33.58844876913144,2,6.4514789809066935
,,5,,,,,,,,,,,30.303037124038514,29.01528000734356,31.48524119262173,30.250260599982646,30.250260599982646,2,2.183157879222197
,,6,,,,,,,,,,,38.29317948405328,38.158193446928074,38.44406665071868,38.30113004882338,38.30113004882338,2,0.2526786011998322
,,7,,,,,,,,,,,26.41591928614692,25.88022699485892,26.968848980737274,26.424537987798097,26.424537987798097,2,0.962214985454187
,,8,,,,,,,,,,,30.77952480529549,26.309129717944252,34.13628012865004,30.222704923297144,30.222704923297144,2,6.918288915971417
,,9,,,,,,,,,,,30.488947717399395,30.12731651307456,31.02881919495175,30.578067854013156,30.578067854013156,2,0.7968233245165249
,,10,,,,,,,,,,,23.713121153696218,22.78909576897087,25.146368970996875,23.96773236998387,23.96773236998387,2,2.0835548328273905
,,11,,,,,,,,,,,34.81992383768826,34.81992383768826,34.81992383768826,34.81992383768826,34.81992383768826,1,0.0
,,12,,,,,,,,,,,33.312654245920996,33.312654245920996,33.312654245920996,33.312654245920996,33.312654245920996,1,0.0
