time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p50,wmape_wmean,n_folds,wmape_mean,wmape_std,wmape_p90,wmape_p10
,,1,,,,,,,,,,,35.93063122594988,35.93063122594988,1,35.93063122594988,0.0,35.93063122594988,35.93063122594988
,,2,,,,,,,,,,,30.75879746770492,30.75879746770492,1,30.75879746770492,0.0,30.75879746770492,30.75879746770492
,,3,,,,,,,,,,,29.88107802190652,29.88107802190652,1,29.88107802190652,0.0,29.88107802190652,29.88107802190652
,,4,,,,,,,,,,,32.56017126657266,32.56017126657266,1,32.56017126657266,0.0,32.56017126657266,32.56017126657266
,,5,,,,,,,,,,,30.826302742834383,30.826302742834383,1,30.826302742834383,0.0,30.826302742834383,30.826302742834383
,,6,,,,,,,,,,,25.89503374513541,25.89503374513541,1,25.89503374513541,0.0,25.89503374513541,25.89503374513541
,,7,,,,,,,,,,,19.5082080653405,19.5082080653405,1,19.5082080653405,0.0,19.5082080653405,19.5082080653405
,,8,,,,,,,,,,,23.91726551711764,23.91726551711764,1,23.91726551711764,0.0,23.91726551711764,23.91726551711764
,,9,,,,,,,,,,,19.149702050175286,19.149702050175286,1,19.149702050175286,0.0,19.149702050175286,19.149702050175286
,,10,,,,,,,,,,,14.792058847513855,14.792058847513855,1,14.792058847513855,0.0,14.792058847513855,14.792058847513855
,,11,,,,,,,,,,,27.411410213084856,27.411410213084856,1,27.411410213084856,0.0,27.411410213084856,27.411410213084856
,,12,,,,,,,,,,,26.96955177592384,26.96955177592384,1,26.96955177592384,0.0,26.96955177592384,26.96955177592384
