time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24286,2023,11,184,17047.0,,27.411410213084856,,44.43155677232276,25.395777712090084,50.80854946154541,,
24287,2023,12,184,22377.0,,26.96955177592384,,52.9887791656739,32.79878587444825,120.65290779821352,,
24288,2024,1,176,15053.0,,35.93063122594988,,38.39784217866042,30.73089726387634,71.66323485627498,,
24289,2024,2,176,10004.0,,30.75879746770492,,70.38196446387576,17.483580106075,37.912188990138674,,
24290,2024,3,176,16751.0,,29.88107802190652,,59.69568196160494,28.439655565054327,54.47736307849043,,
24291,2024,4,176,12136.0,,32.56017126657266,,50.2128400839162,22.45171809608669,41.72152199706608,,
24292,2024,5,176,16078.0,,30.826302742834383,,89.45513930562966,28.16052815336882,47.160887655053585,,
24293,2024,6,176,12787.0,,25.89503374513541,,52.30740320702586,18.813624801082188,28.987452333108056,,
24294,2024,7,176,15121.0,,19.5082080653405,,47.80262390324088,16.76043262250078,26.768620978988025,,
24295,2024,8,176,19165.0,,23.91726551711764,,42.00116890739567,26.04399963838407,42.410788894037374,,
24296,2024,9,176,21348.0,,19.149702050175286,,40.24581932997813,23.22771814586034,44.808648959658406,,
24297,2024,10,176,24947.0,,14.792058847513855,,35.240311424986544,20.966902958461827,37.4310053168284,,
