time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24286,2023,11,184,17047.0,,26.364586265487084,,45.922788438361906,24.425929460204255,47.79931762292574,,
24287,2023,12,184,22377.0,,25.923572436679855,,47.813092331952944,31.526727196499188,119.05526431688206,,
24288,2024,1,176,15053.0,,27.216835485115286,,30.10061868892859,23.278126395309116,56.096664714279655,,
24289,2024,2,176,10004.0,,31.181939625181055,,74.80852663377195,17.724097955131324,43.12358687845519,,
24290,2024,3,176,16751.0,,28.38206496712676,,58.48525594537968,27.01295285592843,53.265217641657365,,
24291,2024,4,176,12136.0,,29.74487179185004,,58.55643759264555,20.510441140107506,37.090387469897685,,
24292,2024,5,176,16078.0,,29.843276899132864,,86.58660931972025,27.262511703651032,46.74448535395398,,
24293,2024,6,176,12787.0,,25.568650285242562,,50.006338183324786,18.57649609076117,28.115085237905284,,
24294,2024,7,176,15121.0,,20.869107805224214,,42.68945474698349,17.929646541067914,28.78013682261861,,
24295,2024,8,176,19165.0,,23.575162929412592,,42.83477000165548,25.67147713307911,41.94720094322942,,
24296,2024,9,176,21348.0,,19.03230394591132,,43.33658131170721,23.085319581665615,40.906193029626564,,
24297,2024,10,176,24947.0,,14.184786352100293,,32.159356416255555,20.10612870033216,35.30310078330941,,
