time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_wmean,wmape_p90,wmape_p10,wmape_mean,wmape_p50,n_folds,wmape_std
,,1,,,,,,,,,,,32.3609189754735,32.3609189754735,32.3609189754735,32.3609189754735,32.3609189754735,1,0.0
,,2,,,,,,,,,,,27.342170419356716,27.34217041935672,27.34217041935672,27.34217041935672,27.34217041935672,1,0.0
,,3,,,,,,,,,,,26.92163939478735,26.92163939478735,26.92163939478735,26.92163939478735,26.92163939478735,1,0.0
,,4,,,,,,,,,,,30.853684795452928,30.853684795452928,30.853684795452928,30.853684795452928,30.853684795452928,1,0.0
,,5,,,,,,,,,,,29.922793942254632,29.922793942254632,29.922793942254632,29.922793942254632,29.922793942254632,1,0.0
,,6,,,,,,,,,,,24.85219512717301,24.85219512717301,24.85219512717301,24.85219512717301,24.85219512717301,1,0.0
,,7,,,,,,,,,,,19.15799123211129,19.15799123211129,19.15799123211129,19.15799123211129,19.15799123211129,1,0.0
,,8,,,,,,,,,,,23.694191544789128,23.694191544789128,23.694191544789128,23.694191544789128,23.694191544789128,1,0.0
,,9,,,,,,,,,,,20.665792870248694,20.665792870248694,20.665792870248694,20.665792870248694,20.665792870248694,1,0.0
,,10,,,,,,,,,,,14.710057047065781,14.710057047065783,14.710057047065783,14.710057047065783,14.710057047065783,1,0.0
,,11,,,,,,,,,,,26.752584383208465,26.752584383208465,26.752584383208465,26.752584383208465,26.752584383208465,1,0.0
,,12,,,,,,,,,,,25.41401539303943,25.414015393039435,25.414015393039435,25.414015393039435,25.414015393039435,1,0.0
