time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24286,2023,11,184,17047.0,,26.16273660660059,,44.52324766546387,24.238922333300014,47.30095008758744,,
24287,2023,12,184,22377.0,,25.92406506374908,,47.67343499689611,31.527326300625713,118.52192974593038,,
24288,2024,1,176,15053.0,,28.182752440352594,,49.261242933495325,24.104259800262927,60.52558443441664,,
24289,2024,2,176,10004.0,,29.693739594149736,,64.56363305956177,16.87819152840193,34.89125424920749,,
24290,2024,3,176,16751.0,,29.83965552131083,,48.33556368278362,28.40023122940214,53.94123880269827,,
24291,2024,4,176,12136.0,,29.36485499651435,,68.76408071839566,20.24840228623285,36.249236484993844,,
24292,2024,5,176,16078.0,,31.367446780223297,,84.99414566199069,28.654875530251715,49.14555540172543,,
24293,2024,6,176,12787.0,,27.11684624534234,,50.658331059001284,19.701313235181395,29.596818488723823,,
24294,2024,7,176,15121.0,,18.66733564358207,,43.213308221977535,16.037998992420707,25.931838518482337,,
24295,2024,8,176,19165.0,,24.717194070528354,,39.22459344845233,26.91505820236795,44.96224746638654,,
24296,2024,9,176,21348.0,,19.879191987583955,,44.48696875701921,24.112556281303537,42.206219100586516,,
24297,2024,10,176,24947.0,,14.230119546394416,,32.477611097762285,20.170385927494404,37.208465848836575,,
