time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_mean,wmape_p10,wmape_p50,n_folds,wmape_wmean,wmape_p90,wmape_std
,,1,,,,,,,,,,,28.182752440352594,28.182752440352594,28.182752440352594,1,28.182752440352594,28.182752440352594,0.0
,,2,,,,,,,,,,,29.693739594149736,29.693739594149736,29.693739594149736,1,29.693739594149736,29.693739594149736,0.0
,,3,,,,,,,,,,,29.83965552131083,29.83965552131083,29.83965552131083,1,29.83965552131083,29.83965552131083,0.0
,,4,,,,,,,,,,,29.36485499651435,29.36485499651435,29.36485499651435,1,29.36485499651435,29.36485499651435,0.0
,,5,,,,,,,,,,,31.367446780223297,31.367446780223297,31.367446780223297,1,31.367446780223297,31.367446780223297,0.0
,,6,,,,,,,,,,,27.11684624534234,27.11684624534234,27.11684624534234,1,27.11684624534234,27.11684624534234,0.0
,,7,,,,,,,,,,,18.66733564358207,18.66733564358207,18.66733564358207,1,18.66733564358207,18.66733564358207,0.0
,,8,,,,,,,,,,,24.717194070528354,24.717194070528354,24.717194070528354,1,24.717194070528354,24.717194070528354,0.0
,,9,,,,,,,,,,,19.879191987583955,19.879191987583955,19.879191987583955,1,19.879191987583955,19.879191987583955,0.0
,,10,,,,,,,,,,,14.230119546394416,14.230119546394416,14.230119546394416,1,14.230119546394416,14.230119546394416,0.0
,,11,,,,,,,,,,,26.16273660660059,26.16273660660059,26.16273660660059,1,26.16273660660059,26.16273660660059,0.0
,,12,,,,,,,,,,,25.92406506374908,25.92406506374908,25.92406506374908,1,25.924065063749076,25.92406506374908,0.0
