time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,46.97364424113859,46.97364424113859,1,46.97364424113859,46.97364424113859,0.0
,,2,,,,,,,27.6287422775301,27.6287422775301,1,27.6287422775301,27.6287422775301,0.0
,,3,,,,,,,28.709975614378415,28.709975614378415,1,28.709975614378415,28.709975614378415,0.0
,,4,,,,,,,31.92999412899739,31.92999412899739,1,31.92999412899739,31.92999412899739,0.0
,,5,,,,,,,37.684905477104095,37.684905477104095,1,37.684905477104095,37.684905477104095,0.0
,,6,,,,,,,39.89855965024742,39.89855965024742,1,39.89855965024742,39.89855965024742,0.0
,,7,,,,,,,30.708377970983275,30.708377970983275,1,30.708377970983275,30.708377970983275,0.0
,,8,,,,,,,37.41407256028658,37.41407256028658,1,37.41407256028658,37.41407256028658,0.0
,,9,,,,,,,28.127855499131606,28.127855499131606,1,28.127855499131606,28.127855499131606,0.0
,,10,,,,,,,27.47659791127376,27.47659791127376,1,27.47659791127376,27.47659791127376,0.0
,,11,,,,,,,25.876539033875538,25.876539033875538,1,25.876539033875538,25.876539033875538,0.0
,,12,,,,,,,28.632221761183867,28.632221761183867,1,28.632221761183867,28.632221761183867,0.0
