time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,26.60240309321965,68.70075979873722,24.646258996201922,45.427468990403604
24287,2023,12,184,22377.0,29.794425202508602,75.4255760403854,36.23423112807255,129.62432791290905
24288,2024,1,176,15053.0,44.21453808981372,92.46419346535852,37.8159910151117,72.34488015900858
24289,2024,2,176,10004.0,31.281474817787895,25.861257235089592,17.78067466347444,29.522528634628745
24290,2024,3,176,16751.0,31.666555584561767,37.41067251019338,30.139004124829214,59.07625855234712
24291,2024,4,176,12136.0,28.6770731165796,30.854127601362606,19.774145417205116,36.6039324063024
24292,2024,5,176,16078.0,35.85229149772732,83.6675829153878,32.75188310798068,56.947642325438
24293,2024,6,176,12787.0,34.98405414107799,83.45455899235094,25.417107971702514,37.80688336391201
24294,2024,7,176,15121.0,29.190692049866012,77.46740472439603,25.079116732160454,41.92738624752531
24295,2024,8,176,19165.0,37.61190467739545,86.83277304847206,40.956372337629766,64.78684870731595
24296,2024,9,176,21348.0,30.740633738357246,78.2868369563877,37.28699142309378,67.9628539544898
24297,2024,10,176,24947.0,28.902355881950886,82.19802468892904,40.967447283353906,69.69490367432186
