time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_p50,n_folds,wmape_p90,wmape_std,wmape_p10,wmape_mean
,,1,,,,,,,47.3194125167427,1,47.3194125167427,0.0,47.3194125167427,47.3194125167427
,,2,,,,,,,35.31823953870872,1,35.31823953870872,0.0,35.31823953870872,35.31823953870872
,,3,,,,,,,32.96413741771421,1,32.96413741771421,0.0,32.96413741771421,32.96413741771421
,,4,,,,,,,29.951788515302606,1,29.951788515302606,0.0,29.951788515302606,29.951788515302606
,,5,,,,,,,36.01982951171324,1,36.01982951171324,0.0,36.01982951171324,36.01982951171324
,,6,,,,,,,35.89974197500091,1,35.89974197500091,0.0,35.89974197500091,35.89974197500091
,,7,,,,,,,30.803666833816745,1,30.803666833816745,0.0,30.803666833816745,30.803666833816745
,,8,,,,,,,36.89233814616432,1,36.89233814616432,0.0,36.89233814616432,36.89233814616432
,,9,,,,,,,32.41395758474933,1,32.41395758474933,0.0,32.41395758474933,32.41395758474933
,,10,,,,,,,27.242152030230777,1,27.242152030230777,0.0,27.242152030230777,27.242152030230777
,,11,,,,,,,25.991536102464153,1,25.991536102464153,0.0,25.991536102464153,25.991536102464153
,,12,,,,,,,30.414582509435505,1,30.414582509435505,0.0,30.414582509435505,30.414582509435505
