time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,41.045866779096855,41.045866779096855,1,41.045866779096855,41.045866779096855,0.0
,,2,,,,,,,27.93779939527696,27.93779939527696,1,27.93779939527696,27.93779939527696,0.0
,,3,,,,,,,30.34146244104287,30.34146244104287,1,30.34146244104287,30.34146244104287,0.0
,,4,,,,,,,32.579725941228155,32.579725941228155,1,32.579725941228155,32.579725941228155,0.0
,,5,,,,,,,36.52525877976128,36.52525877976128,1,36.52525877976128,36.52525877976128,0.0
,,6,,,,,,,40.010231826054046,40.010231826054046,1,40.010231826054046,40.010231826054046,0.0
,,7,,,,,,,31.32510197958487,31.32510197958487,1,31.32510197958487,31.32510197958487,0.0
,,8,,,,,,,36.80509559057228,36.80509559057228,1,36.80509559057228,36.80509559057228,0.0
,,9,,,,,,,28.668472078896723,28.668472078896723,1,28.668472078896723,28.668472078896723,0.0
,,10,,,,,,,28.85217380322694,28.85217380322694,1,28.85217380322694,28.85217380322694,0.0
,,11,,,,,,,26.702800475491678,26.702800475491678,1,26.702800475491678,26.702800475491678,0.0
,,12,,,,,,,29.46963618090687,29.46963618090687,1,29.46963618090687,29.46963618090687,0.0
