time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_p50,n_folds,wmape_p90,wmape_std,wmape_p10,wmape_mean
,,1,,,,,,,46.84040140972075,1,46.84040140972075,0.0,46.84040140972075,46.84040140972075
,,2,,,,,,,33.20635770338565,1,33.20635770338565,0.0,33.20635770338565,33.20635770338565
,,3,,,,,,,31.438906329186644,1,31.438906329186644,0.0,31.438906329186644,31.438906329186644
,,4,,,,,,,29.874178262514807,1,29.874178262514807,0.0,29.874178262514807,29.874178262514807
,,5,,,,,,,36.78388058893502,1,36.78388058893502,0.0,36.78388058893502,36.78388058893502
,,6,,,,,,,36.24656093034233,1,36.24656093034233,0.0,36.24656093034233,36.24656093034233
,,7,,,,,,,29.54977822978841,1,29.54977822978841,0.0,29.54977822978841,29.54977822978841
,,8,,,,,,,37.81421990073739,1,37.81421990073739,0.0,37.81421990073739,37.81421990073739
,,9,,,,,,,30.38649627303716,1,30.38649627303716,0.0,30.38649627303716,30.38649627303716
,,10,,,,,,,28.68769187625472,1,28.68769187625472,0.0,28.68769187625472,28.68769187625472
,,11,,,,,,,27.899073539651642,1,27.899073539651642,0.0,27.899073539651642,27.899073539651642
,,12,,,,,,,30.593685423722523,1,30.593685423722523,0.0,30.593685423722523,30.593685423722523
