time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,49.755742565758965,49.755742565758965,1,49.755742565758965,49.755742565758965,0.0
,,2,,,,,,,28.59052763188644,28.59052763188644,1,28.59052763188644,28.59052763188644,0.0
,,3,,,,,,,34.101280244068974,34.101280244068974,1,34.101280244068974,34.101280244068974,0.0
,,4,,,,,,,28.79687801130924,28.79687801130924,1,28.79687801130924,28.79687801130924,0.0
,,5,,,,,,,37.48853058460907,37.48853058460907,1,37.48853058460907,37.48853058460907,0.0
,,6,,,,,,,35.11355532771469,35.11355532771469,1,35.11355532771469,35.11355532771469,0.0
,,7,,,,,,,29.140856930247523,29.140856930247523,1,29.140856930247523,29.140856930247523,0.0
,,8,,,,,,,37.70357010727955,37.70357010727955,1,37.70357010727955,37.70357010727955,0.0
,,9,,,,,,,31.548678861169222,31.548678861169222,1,31.548678861169222,31.548678861169222,0.0
,,10,,,,,,,28.856538761858776,28.856538761858776,1,28.856538761858776,28.856538761858776,0.0
,,11,,,,,,,28.12830267176052,28.12830267176052,1,28.12830267176052,28.12830267176052,0.0
,,12,,,,,,,31.891640656817138,31.891640656817138,1,31.891640656817138,31.891640656817138,0.0
